file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality,x_3794,y_3794
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,16,001,46.251125867,13.766198969,1774.5,0,001,"001: SLO(404868.8,404868.8)",Waypoint,2,404869,124227
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,17,002,46.251100888,13.766184971,1775.4,0,002,"002: SLO(404867.7,404867.7)",Waypoint,2,404868,124224
old ICCC gps.gpx,2004-06-24,55,003,46.25164605,13.76222863,1823.0,0,,,Flag,1,404564,124290
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,18,004,46.266457876,13.756312933,1782.4,0,004,"004: SLO(404133.3,404133.3)",Waypoint,2,404133,125943
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,19,005,46.266450835,13.756316872,1782.6,0,005,"005: SLO(404133.6,404133.6)",Waypoint,2,404134,125942
old ICCC gps.gpx,2004-06-24,52,006,46.25151538,13.76235821,1866.5,0,,,Flag,1,404573,124275
Peter H old gps.gpx,2004-06-20,28,025,46.25976015,13.76620978,1921.3,0,,,Flag,1,404885,125187
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,152,608,46.251508836,13.762387466,1861.5,0,608,"608: SLO(404575.6,404575.6)",Flag,2,404576,124274
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,153,609,46.260493398,13.762388891,1861.5,0,609,"609: SLO(404591.3,404591.3)",Flag,2,404591,125273
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,154,610,46.251714528,13.764665248,1834.5,0,610,"610: SLO(404751.6,404751.6)",Flag,2,404752,124294
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,155,A1,46.252490189,13.763151225,1859.1,0,A1,"A1: SLO(404636.2,404636.2)",Flag,2,404636,124382
old ICCC gps.gpx,2004-06-24,43,A1M,46.25061147,13.76560159,1803.5,0,,,Flag,1,404822,124171
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,156,A2,46.252555735,13.763333196,1854.3,0,A2,"A2: SLO(404650.3,404650.3)",Flag,2,404650,124389
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,1,A3,46.252480131,13.762884010,1858.3,0,A3,"A3: SLO(404615.6,404615.6)",Flag,2,404616,124382
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,2,A4,46.252836864,13.763162792,1855.2,0,A4,"A4: SLO(404637.7,404637.7)",Flag,2,404638,124421
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,3,AJ01,46.251065182,13.766686292,1725.9,0,AJ01,"AJ01: SLO(404906.3,404906.3)",Flag,2,404906,124220
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,4,ANDY,46.251370870,13.761730241,1871.6,0,ANDY,"ANDY: SLO(404524.7,404524.7)",Campground,2,404525,124260
old ICCC gps.gpx,2004-06-24,42,B10,46.25320274,13.75932103,1851.1,0,,,Flag,1,404342,124466
old ICCC gps.gpx,2004-06-24,41,B11,46.25459816,13.75849215,1864.8,0,,,Flag,1,404281,124622
old ICCC gps.gpx,2004-06-24,40,B12,46.25535588,13.75944944,1874.0,0,,,Flag,1,404356,124705
old ICCC gps.gpx,2004-06-24,39,B18,46.25464803,13.75904049,1864.1,0,,,Flag,1,404323,124627
old ICCC gps.gpx,2004-06-24,38,B19,46.25468709,13.75844554,1863.4,0,,,Flag,1,404277,124632
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,5,B20,46.252553305,13.764146660,1856.2,0,B20,"B20: SLO(404713.1,404713.1)",Waypoint,2,404713,124388
old ICCC gps.gpx,2004-06-24,36,B88,46.25242783,13.76465846,1842.0,0,,,Flag,1,404752,124374
old ICCC gps.gpx,2004-06-24,35,B89,46.25172149,13.76468671,1833.1,0,,,Flag,1,404753,124295
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,6,B9,46.252375944,13.758146893,,0,B9,"B9: SLO(404250.2,404250.2)",Waypoint,2,404250,124376
ICCC_JSPDT_Mig_GPS_points_2005-2008.gpx,2009-07-08,32,B9 CAIRN,46.252516000,13.758155000,1841.0,0,B9 CAIRN,"B9 CAIRN: SLO(404251.0,404251.0)",Waypoint,1,404251,124391
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,7,B9 CRN,46.252515838,13.758154940,1841.0,0,B9 CRN,"B9 CRN: SLO(404251.0,404251.0)",Waypoint,2,404251,124391
Peter H old gps.gpx,2004-06-20,17,B90,46.25169567,13.76458520,1838.9,0,,,Flag,1,404745,124292
old ICCC gps.gpx,2004-06-24,34,B91,46.25362368,13.75967550,1863.4,0,,,Flag,1,404370,124513
old ICCC gps.gpx,2004-06-24,33,B92,46.25055104,13.76067471,1842.7,0,,,Flag,1,404442,124170
old ICCC gps.gpx,2004-06-24,32,B93,46.25359409,13.75939831,1859.8,0,,,Flag,1,404349,124510
old ICCC gps.gpx,2004-06-24,31,B94,46.25453957,13.75835267,1860.5,0,,,Flag,1,404270,124616
old ICCC gps.gpx,2004-06-24,30,B95,46.25441116,13.75923679,1877.1,0,,,Flag,1,404338,124601
old ICCC gps.gpx,2004-06-24,29,B96,46.25454971,13.75795998,1856.7,0,,,Flag,1,404240,124618
old ICCC gps.gpx,2004-06-24,28,B97,46.25448173,13.75817824,1860.5,0,,,Flag,1,404256,124610
old ICCC gps.gpx,2004-06-24,27,B98,46.25373817,13.75863489,1853.5,0,,,Flag,1,404290,124527
old ICCC gps.gpx,2004-06-24,26,B99,46.25361504,13.75794657,1848.7,0,,,Flag,1,404237,124514
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,8,BCAIRN,46.251375983,13.759256909,,0,BCAIRN,"BCAIRN: SLO(404334.0,404334.0)",Waypoint,2,404334,124263
ICCC_eTrex_H_waypoints_area_n_recee_2009-12.gpx,2010-01-04,9,BIVVI,46.251508836,13.762387466,1861.5,0,BIVVI,"BIVVI: SLO(404575.6,404575.6)",Medical Facility,2,404576,124274
