file_name,gpx_time,rec_num,name,latitude,longitude,elevation,used_max_elevation,comment,description,symbol,gps_quality
Peter H old gps.gpx,2004-06-20,53, WASH,50.90463354,-0.40527164,56.4,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,51,007,-41.03307406,172.87686240,773.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,50,008,-41.03307280,172.87685242,774.5,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,49,009,-41.03307456,172.87684982,774.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,48,010,-41.03280869,172.87835857,768.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,47,011,-40.94280121,172.89165428,736.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,46,012,-40.93858025,172.90871246,758.6,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,45,013,-40.95613297,172.88171787,757.9,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,44,014,-40.95803658,172.88126759,764.1,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,38,015,45.02195967,5.57677321,1813.2,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,37,016,50.93247780,-0.28533147,17.9,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,36,017,51.05017674,-0.13577024,72.0,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,35,018,50.97304194,0.73061421,32.1,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,34,019,54.11948207,-2.42901041,207.5,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,33,020,54.15695513,-2.34141483,375.8,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,32,021,54.27039589,-2.43458957,160.4,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,31,022,54.27039589,-2.43458957,160.4,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,30,023,45.38965901,5.81720098,1564.7,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,29,024,50.16617362,-5.47742277,94.3,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,27,999999,51.23219043,-0.39516357,175.1,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,26,B01,45.20508581,5.59282271,1621.1,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,25,B02,45.20725706,5.59584581,1588.7,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,24,B03,45.20928045,5.59792453,1567.1,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,23,B04,45.21027756,5.60148734,1552.2,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,22,B05,45.21416660,5.60448722,1526.9,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,21,B06,45.21560912,5.60437918,1503.4,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,20,B07,45.21720353,5.60509767,1494.7,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,19,B08,45.21740570,5.60418421,1455.6,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,16,BERGER,45.21930085,5.60467145,1465.6,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,24,BL-HEL,-40.94723767,172.89914191,771.1,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,23,BOLDER,-40.96659358,172.89128623,760.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,22,BT,-40.94782650,172.89951583,775.7,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,15,CAMPSI,45.32495290,5.79690093,892.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,21,CPHH,-40.94290473,172.89178269,738.4,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,20,DAMP,-40.96574081,172.89218871,740.3,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,19,DEAD,-40.96498484,172.89233774,742.3,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,18,DRAUGH,-40.96144324,172.89371086,817.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,17,DRIP,-40.96110570,172.89143786,737.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,16,FENCE,-40.96277353,172.89286244,756.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,14,HD,-40.96513144,172.89578345,781.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,13,HD2,-40.96475870,172.89506588,774.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,12,HOLE1,-41.03291606,172.87767594,773.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,11,HUT,-41.03307976,172.87687623,773.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,8,KHP,-40.95270368,172.87927597,835.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,6,L09,-41.03307465,172.87685075,774.5,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,4,LAIR,-41.03280869,172.87835857,768.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,3,LAIRY,-41.03282713,172.87855311,761.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,2,LOG,-40.94585197,172.90123404,806.9,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,79,LOOK,-40.96529028,172.88992719,758.1,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,78,LR,-40.94781602,172.88874944,777.3,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,76,MARBLE,-40.94654323,172.90029317,750.2,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,75,MHBFB,-40.94859654,172.89831160,772.1,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,8,MOLIER,45.19814224,5.59117030,1632.9,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,74,MUDBAG,-40.96524460,172.89517367,769.4,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,73,N0GO,-40.95525764,172.87896005,778.5,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,7,NPC,54.11961912,-2.42913270,144.3,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,71,OJ,-40.95809584,172.94070450,760.8,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,6,P40,45.31243410,5.85354315,1947.0,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,67,PISS,-40.94551226,172.89677093,771.8,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,66,PIT,-40.94595189,172.89753536,790.3,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,65,PROTO,-40.95560197,172.87940035,791.8,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,5,ROBCRU,54.18317180,-2.47810707,386.1,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,64,RUST,-40.96440113,172.89116662,756.0,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,4,SCV35,45.38965901,5.81720098,1564.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,63,SHEEP,-40.96022878,172.89249993,773.5,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,3,SILENC,45.01749329,5.57641874,1852.1,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,62,STAGE,-40.95801261,172.88118067,765.8,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,61,STRAWS,-40.94507782,172.89726085,768.5,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,2,TDEGLA,45.31701926,5.85166292,1687.7,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,59,THORN,-40.96611355,172.89124809,758.8,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,1,TREG,50.16625325,-5.47746384,97.2,0,,,Flag,1
old ICCC gps.gpx,2004-06-24,58,TWIG,-40.94729400,172.89741021,785.0,0,,,Flag,1
Peter H old gps.gpx,2004-06-20,54,VALE,50.99239139,-4.48354488,125.1,0,,,Flag,1
